cell_id,lac,operator,technology,latitude,longitude,address,city
100000,5012,MockTel Gamma,2G,31.56922,74.277102,Lahore - Mock Sector 3,Lahore
100007,7912,MockTel Alpha,2G,31.582806,74.368338,Lahore - Mock Sector 1,Lahore
100014,4257,MockTel Alpha,4G,31.492817,74.306173,Lahore - Mock Sector 11,Lahore
100021,5557,MockTel Delta,2G,31.577885,74.332333,Lahore - Mock Sector 3,Lahore
100028,4527,MockTel Beta,3G,31.57744,74.321235,Lahore - Mock Sector 2,Lahore
100035,5333,MockTel Gamma,2G,31.492684,74.28714,Lahore - Mock Sector 12,Lahore
100042,2291,MockTel Delta,4G,31.544019,74.291076,Lahore - Mock Sector 5,Lahore
100049,4150,MockTel Gamma,4G,31.595817,74.360193,Lahore - Mock Sector 2,Lahore
100056,2307,MockTel Gamma,2G,31.486115,74.305506,Lahore - Mock Sector 2,Lahore
100063,3664,MockTel Gamma,3G,31.532918,74.337077,Lahore - Mock Sector 6,Lahore
100070,3803,MockTel Alpha,4G,31.509031,74.310977,Lahore - Mock Sector 12,Lahore
100077,4598,MockTel Gamma,4G,31.513974,74.338316,Lahore - Mock Sector 6,Lahore
100084,1525,MockTel Beta,3G,31.597699,74.38224,Lahore - Mock Sector 7,Lahore
100091,4483,MockTel Gamma,4G,31.517184,74.303138,Lahore - Mock Sector 8,Lahore
100098,3340,MockTel Delta,3G,31.535088,74.401637,Lahore - Mock Sector 3,Lahore
100105,8019,MockTel Gamma,4G,24.825228,67.009692,Karachi - Mock Sector 7,Karachi
100112,9348,MockTel Beta,3G,24.84138,67.070726,Karachi - Mock Sector 2,Karachi
100119,3621,MockTel Beta,4G,24.89651,67.051654,Karachi - Mock Sector 7,Karachi
100126,9669,MockTel Delta,3G,24.874197,66.984967,Karachi - Mock Sector 9,Karachi
100133,9797,MockTel Alpha,3G,24.911209,66.932707,Karachi - Mock Sector 11,Karachi
100140,8433,MockTel Beta,2G,24.838325,66.97219,Karachi - Mock Sector 12,Karachi
100147,9317,MockTel Beta,2G,24.913319,66.967974,Karachi - Mock Sector 11,Karachi
100154,3504,MockTel Beta,3G,24.832482,67.020553,Karachi - Mock Sector 3,Karachi
100161,6310,MockTel Alpha,3G,24.866213,67.040108,Karachi - Mock Sector 1,Karachi
100168,4923,MockTel Gamma,2G,24.806361,66.981917,Karachi - Mock Sector 4,Karachi
100175,8962,MockTel Alpha,2G,24.913621,67.063673,Karachi - Mock Sector 9,Karachi
100182,3705,MockTel Delta,3G,24.897917,66.949075,Karachi - Mock Sector 9,Karachi
100189,9835,MockTel Beta,4G,24.912841,66.990339,Karachi - Mock Sector 12,Karachi
